state,city,token,status,depots,count_est,count,time_est,time,date,ver,remarks
Washington,Kennewick,kennewick,all,7,9,9,30,,2022-09,1.45,
Washington,Longview,longview,all,3,5,5,15,20,2022-10,1.45,
Washington,Olympia,olympia,all,8,10,12,40,,2022-09,1.45,
Washington,Omak,omak,all,3,5,3,10,,2022-09,1.45,
Washington,Port Angeles,port_angeles,all,9,11,11,40,,2022-09,1.45,
Washington,Seattle,seattle,all,7,9,10,35,,2022-09,1.45,
Washington,Spokane,spokane,all,8,10,10,35,,2022-09,1.45,
Washington,Tacoma,tacoma,all,7,9,7,25,15,2022-10,1.45,
Washington,Vancouver,vancouver,all,5,7,6,20,20,2022-10,1.45,
Washington,Wenatchee,wenatchee,all,8,10,10,35,,2022-09,1.45,
Washington,Yakima,yakima,all,8,10,10,35,,2022-08,1.45,
Wyoming,Casper,casper,all,8,10,11,40,50,2022-12,1.46,
Wyoming,Cheyenne,cheyenne,all,10,12,12,40,50,2022-11,1.46,
Wyoming,Cody,cody,cleanup,6,8,8,25,25,2023-04,1.47,IRL map
Wyoming,Evanston,evanston,all,7,9,8,25,25,2023-04,1.47,
Wyoming,Gillette,gillette,all,7,9,10,35,40,2022-12,1.46,
Wyoming,Jackson,jackson,all,6,8,8,25,30,2023-04,1.47,
Wyoming,Laramie,laramie,all,7,9,8,25,30,2023-03,1.47,
Wyoming,Rawlins,rawlins,all,7,9,7,25,25,2023-02,1.46,
Wyoming,Riverton,riverton,all,6,8,7,25,15,2023-04,1.47,
Wyoming,Rock Springs,rock_springs,all,9,11,10,35,40,2023-04,1.47,
Wyoming,Sheridan,sheridan,all,6,8,8,25,25,2023-04,1.47,
